zoo,Scientific name,Common name,Given name,gender,Date of birth,age,isTransportable
Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,Pterocles gutturalis,"Sandgrouse, yellow-throated",Georgeanne,Female,2/29/2024,26-447-6918,false
,Perameles nasuta,Long-nosed bandicoot,Blondell,Female,5/25/2023,93-384-8152,true
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Papio cynocephalus,Yellow baboon,Claudius,Male,1/3/2024,76-879-7458,true
␢,Hystrix cristata,"Porcupine, crested",Galvin,Male,2/21/2024,60-900-8677,false
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Diceros bicornis,"Rhinoceros, black",Gordan,Male,3/11/2024,95-918-3418,true
❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,Panthera pardus,"Leopard, indian",Lanni,Female,3/14/2024,38-515-2644,false
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Colobus guerza,Guerza,Nanice,Female,7/8/2023,22-510-2557,false
울란바토르,Thalasseus maximus,"Tern, royal",Kelbee,Male,6/9/2023,80-746-8358,false
ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,Crocodylus niloticus,Nile crocodile,Minny,Female,8/30/2023,70-618-0429,false
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Halcyon smyrnesis,"Kingfisher, white-throated",Astrix,Female,8/15/2023,07-377-4001,true
-$1.00,Macaca nemestrina,"Macaque, pig-tailed",Cornie,Male,9/22/2023,61-955-0144,true
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Anthropoides paradisea,Stanley crane,Desiri,Female,1/6/2024,90-567-0165,true
1/2,Lama glama,Llama,Berne,Male,6/8/2023,21-682-1742,false
!@#$%^&*(),unavailable,Red-winged hawk (unidentified),Sheree,Female,1/25/2024,71-304-6550,false
Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,Vicugna vicugna,Vicuna,Kippy,Agender,9/21/2023,76-196-9073,false
'',Trachyphonus vaillantii,"Barbet, levaillant's",Addy,Female,8/14/2023,74-232-9966,true
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,Junonia genoveua,"Butterfly, tropical buckeye",Adorne,Female,7/13/2023,45-326-2793,false
1/2,Herpestes javanicus,Javan gold-spotted mongoose,Cointon,Male,5/30/2023,81-179-5169,true
田中さんにあげて下さい,Spermophilus tridecemlineatus,"Squirrel, thirteen-lined",Linea,Female,12/23/2023,30-551-2107,false
﻿,unavailable,Western palm tanager (unidentified),Rosa,Female,5/2/2023,80-368-8586,true
🐵 🙈 🙉 🙊,Coluber constrictor foxii,"Racer, blue",Fabian,Male,11/11/2023,66-676-7008,false
⁰⁴⁵₀₁₂,Columba palumbus,"Pigeon, wood",Dory,Female,9/9/2023,89-024-5045,true
",./;'[]\-=",Cochlearius cochlearius,Boat-billed heron,Chico,Agender,4/18/2023,80-868-9087,true
1/0,Theropithecus gelada,Bleeding heart monkey,Launce,Male,10/19/2023,46-790-5727,true
../../../../../../../../../../../etc/hosts,Egretta thula,"Egret, snowy",Nalani,Female,5/6/2023,80-598-6835,false
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Coluber constrictor,"Racer, american",Fields,Male,2/9/2024,89-448-5054,false
NULL,Taurotagus oryx,"Eland, common",Gusti,Female,5/5/2023,47-029-4648,false
"'""'",Francolinus swainsonii,"Francolin, swainson's",Brenda,Female,7/2/2023,01-678-9115,false
<svg><script>0<1>alert('XSS')</script>,Boa constrictor mexicana,"Boa, mexican",Galvan,Male,6/10/2023,77-771-3358,true
<img src=x onerror=alert('hi') />,Pseudoleistes virescens,"Marshbird, brown and yellow",Alyce,Polygender,10/16/2023,65-579-2992,true
-1E+02,Axis axis,Chital,Shelba,Bigender,2/9/2024,29-101-2792,false
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Chlidonias leucopterus,"Tern, white-winged black",Joelynn,Female,10/28/2023,20-391-3834,false
¡™£¢∞§¶•ªº–≠,Spermophilus tridecemlineatus,"Squirrel, thirteen-lined",Horton,Bigender,4/11/2024,43-861-6277,false
-1/2,Pteronura brasiliensis,"Otter, brazilian",Massimo,Male,7/23/2023,78-432-5497,false
nil,Choloepus hoffmani,Two-toed sloth,Wilfred,Male,7/5/2023,10-792-6294,false
᠎,Helogale undulata,"Mongoose, eastern dwarf",Farica,Female,6/30/2023,47-106-3822,false
<svg><script>0<1>alert('XSS')</script>,Odocoileus hemionus,"Deer, black-tailed",Christiana,Female,12/26/2023,08-586-4201,false
"""''''""'""",Podargus strigoides,Tawny frogmouth,Danita,Female,2/29/2024,28-503-5078,true
部落格,Tachyglossus aculeatus,Short-beaked echidna,Camey,Male,6/8/2023,83-873-0199,true
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Odocoilenaus virginianus,"Deer, white-tailed",Allyce,Non-binary,6/1/2023,72-346-8617,true
˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,Libellula quadrimaculata,"Skimmer, four-spotted",Bibbye,Female,3/2/2024,53-893-0324,true
NULL,Bettongia penicillata,"Kangaroo, brush-tailed rat",Marv,Male,11/12/2023,67-973-2349,true
åß∂ƒ©˙∆˚¬…æ,Pycnonotus barbatus,"Bulbul, black-eyed",Monika,Genderqueer,4/4/2024,25-047-8650,false
﻿,Tursiops truncatus,Bottle-nose dolphin,Dermot,Male,8/5/2023,71-682-0314,false
(｡◕ ∀ ◕｡),Tursiops truncatus,Bottle-nose dolphin,Emmalyn,Genderfluid,2/7/2024,49-929-5941,false
١٢٣,Ceratotherium simum,"Rhinoceros, white",Kristoforo,Male,9/28/2023,53-588-8381,false
הָיְתָהtestالصفحات التّحول,Odocoileus hemionus,Black-tailed deer,Avictor,Male,5/29/2023,74-188-3041,false
ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,Paraxerus cepapi,Smith's bush squirrel,Annamarie,Female,7/18/2023,06-867-8048,false
1/2,Ovis dalli stonei,Stone sheep,Correy,Male,11/15/2023,56-625-7308,true
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Dasyurus viverrinus,Native cat,Thorsten,Male,9/25/2023,50-856-5183,true
../../../../../../../../../../../etc/hosts,Coluber constrictor,American racer,Leslie,Female,12/16/2023,72-771-3131,false
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Estrilda erythronotos,"Waxbill, black-cheeked",Noble,Male,7/11/2023,21-295-3923,true
1E02,Canis mesomelas,"Jackal, black-backed",Ellsworth,Male,5/17/2023,78-279-3685,true
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Chauna torquata,Crested screamer,Blinnie,Female,1/28/2024,04-477-4904,false
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Dasyurus maculatus,"Cat, tiger",Coleen,Female,9/11/2023,55-878-4802,true
Ω≈ç√∫˜µ≤≥÷,Naja sp.,Cobra (unidentified),Bary,Male,7/20/2023,78-992-6173,false
Œ„´‰ˇÁ¨ˆØ∏”’,Phacochoerus aethiopus,Warthog,Mohammed,Male,6/30/2023,73-326-3177,false
-1.00,Choloepus hoffmani,"Sloth, two-toed tree",Katti,Female,4/4/2024,80-197-9141,false
<img src=x onerror=alert('hi') />,Bugeranus caruncalatus,"Crane, wattled",Brenn,Genderfluid,4/19/2023,47-117-1239,false
00˙Ɩ$-,Mazama gouazoubira,Brown brocket,Leona,Female,3/28/2024,55-181-3497,false
../../../../../../../../../../../etc/passwd%00,Petaurus norfolcensis,"Glider, squirrel",Henry,Male,1/13/2024,79-725-0853,false
",./;'[]\-=",Damaliscus dorcas,Blesbok,Ruggiero,Male,9/1/2023,25-100-3875,true
ÅÍÎÏ˝ÓÔÒÚÆ☃,Notechis semmiannulatus,Tiger snake,Ives,Male,8/3/2023,54-338-2355,false
˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,Oryx gazella,Gemsbok,Hagen,Male,6/22/2023,69-846-8219,true
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Macropus rufus,Red kangaroo,Mariann,Female,11/9/2023,48-913-9316,true
田中さんにあげて下さい,Egretta thula,"Egret, snowy",Ginni,Female,1/11/2024,67-499-9564,true
1E02,Isoodon obesulus,Short-nosed bandicoot,Dunstan,Male,7/27/2023,48-474-9499,true
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Elephas maximus bengalensis,"Elephant, asian",Leslie,Female,7/26/2023,87-314-6543,true
"""'""'""''''""",Bos taurus,"Cow, scottish highland",Benedick,Male,8/13/2023,66-593-2147,true
-1,Pteropus rufus,Madagascar fruit bat,Kaine,Male,6/8/2023,76-520-0924,false
"""""",Canis aureus,"Jackal, indian",Heather,Female,9/23/2023,24-885-6245,false
　,Crotalus cerastes,Horned rattlesnake,Bellanca,Female,4/21/2023,05-309-8787,false
ÅÍÎÏ˝ÓÔÒÚÆ☃,Lasiorhinus latifrons,Southern hairy-nosed wombat,Alissa,Female,1/27/2024,45-246-8787,false
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Speotyte cuniculata,"Owl, burrowing",Wallis,Genderfluid,4/27/2023,24-558-0915,false
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,Thalasseus maximus,"Tern, royal",Forbes,Male,1/25/2024,52-190-5932,false
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Bubo virginianus,Great horned owl,Constancy,Female,8/13/2023,09-741-4600,false
1'; DROP TABLE users--,Trachyphonus vaillantii,"Barbet, crested",Petunia,Female,12/13/2023,76-481-2396,false
null,Cochlearius cochlearius,Boat-billed heron,Jorrie,Non-binary,12/20/2023,26-094-4835,false
¸˛Ç◊ı˜Â¯˘¿,Bucorvus leadbeateri,Leadbeateri's ground hornbill,Lauryn,Female,2/20/2024,06-836-5060,false
הָיְתָהtestالصفحات التّحول,Felis wiedi or Leopardus weidi,Margay,Allys,Female,10/8/2023,46-971-1541,true
"""'""'""''''""",Alcelaphus buselaphus caama,"Hartebeest, red",Shaylah,Female,1/22/2024,77-378-2294,false
‫test‫,Canis aureus,"Jackal, golden",Martie,Male,9/1/2023,11-240-5832,false
❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,unavailable,Old world fruit bat (unidentified),Nicola,Female,5/20/2023,70-678-0278,true
/dev/null; touch /tmp/blns.fail ; echo,Cervus duvauceli,"Deer, swamp",Gena,Female,5/12/2023,32-281-9979,false
1,Pycnonotus nigricans,African red-eyed bulbul,Lisette,Female,7/13/2023,95-352-2741,false
¸˛Ç◊ı˜Â¯˘¿,Chauna torquata,Southern screamer,Lissy,Female,7/27/2023,36-702-4487,true
הָיְתָהtestالصفحات التّحول,Bucorvus leadbeateri,"Hornbill, leadbeateri's ground",Roderich,Male,5/1/2023,64-307-1748,false
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Thalasseus maximus,Royal tern,Marti,Female,10/13/2023,74-130-4541,false
ÅÍÎÏ˝ÓÔÒÚÆ☃,Macaca nemestrina,Pig-tailed macaque,Piotr,Male,12/12/2023,89-325-6936,false
<svg><script>0<1>alert('XSS')</script>,Ploceus intermedius,Lesser masked weaver,Rolph,Male,5/14/2023,36-921-8177,true
-1/2,Butorides striatus,"Heron, little",Eberhard,Male,10/23/2023,08-913-3665,false
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Zenaida asiatica,White-winged dove,Hedvig,Female,11/3/2023,77-728-1568,false
-1E02,Acrobates pygmaeus,"Possum, pygmy",Renee,Female,10/3/2023,73-894-3169,true
<img src=x onerror=alert('hi') />,Balearica pavonina,"Crane, black-crowned",Bonita,Bigender,3/23/2024,12-201-6178,false
-1,Ciconia episcopus,White-necked stork,Tamqrah,Female,6/14/2023,90-614-7797,false
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Herpestes javanicus,Small Indian mongoose,Ailis,Female,11/20/2023,74-903-3730,false
test⁠test‫,Bucorvus leadbeateri,Leadbeateri's ground hornbill,Felix,Male,7/11/2023,74-275-0411,true
00˙Ɩ$-,Larus novaehollandiae,"Gull, silver",Dorris,Female,6/26/2023,09-477-4495,true
"""''''""'""",Gymnorhina tibicen,"Magpie, black-backed",Maible,Female,12/2/2023,49-091-5227,false
1.00,Rhabdomys pumilio,"Mouse, four-striped grass",Mac,Genderqueer,4/30/2023,80-976-6828,false
"__ﾛ(,_,*)",Petaurus norfolcensis,"Glider, squirrel",Florinda,Female,5/24/2023,70-676-5172,true
1E2,Felis serval,Serval,Effie,Female,12/23/2023,60-250-7249,false
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Choloepus hoffmani,"Sloth, hoffman's",Tommy,Male,8/19/2023,36-040-8783,true
1,Manouria emys,"Tortoise, asian foreset",Dolf,Male,10/5/2023,59-263-5170,false
₀₁₂,Dasyurus viverrinus,"Quoll, eastern",Gussie,Female,4/22/2023,95-305-3556,true
1E02,Tapirus terrestris,"Tapir, brazilian",Ede,Female,7/22/2023,59-056-8174,true
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Sula dactylatra,Blue-faced booby,Babara,Female,4/12/2024,77-204-6666,true
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Equus burchelli,Plains zebra,Alano,Polygender,3/11/2024,61-702-5645,true
הָיְתָהtestالصفحات التّحول,Ictonyx striatus,African polecat,Allison,Female,7/25/2023,71-660-1417,true
',Climacteris melanura,"Creeper, black-tailed tree",Verena,Female,10/10/2023,08-794-3367,false
Ω≈ç√∫˜µ≤≥÷,Ramphastos tucanus,"Toucan, red-billed",Charis,Female,8/26/2023,57-563-8586,true
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Bassariscus astutus,Miner's cat,Sid,Male,5/26/2023,51-129-8155,true
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Phalaropus lobatus,"Phalarope, red-necked",Yanaton,Male,7/24/2023,86-115-0852,false
"""''''""'""",Vanessa indica,"Admiral, indian red",Biddy,Female,12/22/2023,28-373-9900,true
'',Carphophis sp.,Worm snake (unidentified),Bernardine,Female,12/14/2023,09-946-6271,true
⁦test⁧,Tetracerus quadricornis,Four-horned antelope,Jess,Male,4/18/2023,81-383-9500,true
사회과학원 어학연구소,Coracias caudata,Lilac-breasted roller,Robbert,Agender,4/5/2024,25-208-6882,true
¡™£¢∞§¶•ªº–≠,Eudromia elegans,Elegant crested tinamou,Sonny,Male,3/4/2024,69-419-5513,false
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Trichoglossus chlorolepidotus,"Lorikeet, scaly-breasted",Roda,Female,10/12/2023,36-846-4930,false
田中さんにあげて下さい,Ateles paniscus,"Monkey, black spider",Nickolai,Male,4/27/2023,68-985-5816,true
﻿,Herpestes javanicus,Javan gold-spotted mongoose,Banky,Male,6/9/2023,43-968-8052,true
-1/2,Corvus brachyrhynchos,"Crow, house",Adi,Female,7/20/2023,69-382-8687,true
-1E+02,Phoeniconaias minor,"Flamingo, lesser",Boyce,Male,7/20/2023,52-855-2158,true
"""""",Agouti paca,Paca,Dara,Female,1/10/2024,76-016-8985,true
١٢٣,Myiarchus tuberculifer,Tyrant flycatcher,Blakelee,Female,4/18/2023,20-290-2127,true
'',Crotalus cerastes,Sidewinder,Tiler,Male,10/10/2023,21-933-0113,false
"""'""'""''''""",Bradypus tridactylus,Pale-throated three-toed sloth,Aldo,Male,7/22/2023,00-111-0343,false
00˙Ɩ$-,unavailable,Adouri (unidentified),Arnoldo,Male,8/7/2023,38-068-5075,true
1'; DROP TABLE users--,Lophoaetus occipitalis,Long-crested hawk eagle,See,Male,5/16/2023,64-560-9367,true
部落格,Mazama gouazoubira,Savannah deer,Kory,Male,9/10/2023,15-983-8478,false
(╯°□°）╯︵ ┻━┻)  ,Sus scrofa,Wild boar,Myrilla,Female,11/7/2023,00-051-7421,true
Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,Gazella granti,Grant's gazelle,Lin,Female,5/25/2023,83-926-8143,false
